Id,Category
0,4
1,1
2,2
3,2
4,6
5,5
6,2
7,10
8,11
9,13
10,15
11,6
12,24
13,2
14,25
15,34
16,32
17,34
18,32
19,32
20,34
21,34
22,32
23,33
24,33
25,14
26,32
27,32
28,32
29,32
30,32
31,33
32,35
33,11
34,13
35,13
36,4
37,1
38,2
39,2
40,6
41,5
42,2
43,24
44,24
45,2
46,25
47,32
48,32
49,32
50,32
51,32
52,32
53,32
54,33
55,6
56,45
57,46
58,4
59,1
60,2
61,2
62,6
63,5
64,2
65,2
66,17
67,13
68,15
69,6
70,24
71,2
72,25
73,14
74,32
75,18
76,32
77,33
78,32
79,34
80,32
81,33
82,33
83,36
84,36
85,37
86,37
87,38
88,39
89,39
90,39
91,14
92,13
93,13
94,4
95,1
96,2
97,3
98,6
99,5
100,2
101,10
102,11
103,13
104,15
105,6
106,24
107,2
108,25
109,34
110,32
111,32
112,32
113,33
114,32
115,34
116,32
117,33
118,35
119,14
120,32
121,32
122,32
123,4
124,32
125,32
126,33
127,11
128,14
129,46
130,5
131,2
132,10
133,11
134,13
135,14
136,15
137,45
138,46
139,2
140,11
141,11
142,26
143,26
144,27
145,10
146,28
147,29
148,29
149,30
150,36
151,36
152,37
153,37
154,39
155,11
156,11
157,42
158,42
159,44
160,44
161,44
162,14
163,15
164,45
165,46
166,5
167,2
168,10
169,11
170,13
171,13
172,15
173,24
174,2
175,25
176,11
177,11
178,26
179,26
180,27
181,10
182,28
183,29
184,29
185,30
186,36
187,36
188,37
189,39
190,40
191,11
192,11
193,42
194,43
195,44
196,44
197,44
198,15
199,15
200,45
201,46
202,5
203,2
204,32
205,32
206,32
207,32
208,33
209,1
210,2
211,25
212,11
213,11
214,26
215,26
216,27
217,28
218,29
219,32
220,14
221,15
222,32
223,32
224,32
225,32
226,32
227,32
228,32
229,32
230,32
231,36
232,36
233,37
234,39
235,40
236,11
237,11
238,42
239,42
240,44
241,29
242,29
243,14
244,15
245,45
246,46
247,5
248,2
249,10
250,11
251,13
252,13
253,15
254,2
255,2
256,25
257,11
258,11
259,11
260,26
261,27
262,10
263,28
264,29
265,29
266,15
267,32
268,32
269,32
270,32
271,32
272,34
273,32
274,32
275,33
276,18
277,36
278,37
279,39
280,39
281,11
282,11
283,42
284,42
285,44
286,44
287,44
288,14
289,15
290,45
291,46
292,4
293,1
294,2
295,3
296,6
297,24
298,24
299,2
300,10
301,11
302,12
303,13
304,13
305,15
306,15
307,19
308,19
309,20
310,20
311,21
312,20
313,21
314,11
315,11
316,26
317,27
318,27
319,28
320,29
321,14
322,14
323,14
324,34
325,32
326,32
327,32
328,32
329,32
330,32
331,32
332,14
333,36
334,36
335,18
336,37
337,39
338,39
339,10
340,11
341,42
342,42
343,27
344,27
345,44
346,44
347,45
348,46
349,7
350,22
351,19
352,20
353,20
354,21
355,20
356,21
357,6
358,24
359,2
360,25
361,25
362,1
363,1
364,2
365,5
366,5
367,2
368,2
369,11
370,11
371,11
372,11
373,12
374,12
375,13
376,15
377,22
378,19
379,19
380,20
381,20
382,21
383,21
384,24
385,2
386,25
387,11
388,26
389,2
390,27
391,28
392,29
393,15
394,14
395,34
396,32
397,34
398,32
399,36
400,18
401,37
402,37
403,39
404,11
405,44
406,44
407,15
408,6
409,45
410,46
411,11
412,42
413,44
414,15
415,6
416,24
417,25
418,4
419,34
420,34
421,32
422,32
423,32
424,33
425,32
426,32
427,32
428,33
429,34
430,32
431,33
432,33
433,33
434,11
435,11
436,11
437,42
438,42
439,43
440,44
441,14
442,15
443,17
444,11
445,12
446,13
447,15
448,22
449,19
450,19
451,20
452,22
453,21
454,6
455,24
456,25
457,25
458,25
459,14
460,14
461,36
462,37
463,39
464,11
465,11
466,11
467,42
468,42
469,43
470,44
471,14
472,15
473,6
474,45
475,46
476,4
477,1
478,2
479,3
480,17
481,11
482,12
483,13
484,15
485,22
486,22
487,19
488,20
489,22
490,21
491,24
492,24
493,25
494,11
495,11
496,27
497,2
498,27
499,28
500,29
501,14
502,30
503,14
504,34
505,34
506,34
507,32
508,32
509,33
510,32
511,32
512,32
513,33
514,34
515,32
516,32
517,32
518,33
519,33
520,33
521,14
522,14
523,36
524,37
525,37
526,11
527,11
528,11
529,42
530,42
531,43
532,44
